iter	Passed	Remaining
0	1	121
1	2	101
2	2	92
3	3	83
4	4	84
5	5	81
6	6	79
7	6	78
8	7	78
9	8	79
10	10	81
11	10	80
12	11	78
13	12	76
14	13	75
15	14	73
16	14	72
17	15	71
18	16	69
19	17	68
20	18	67
21	18	67
22	19	66
23	20	64
24	21	63
25	22	63
26	22	62
27	23	61
28	24	60
29	25	59
30	26	58
31	27	57
32	27	56
33	28	55
34	29	54
35	30	53
36	31	52
37	31	52
38	32	51
39	33	50
40	34	49
41	34	47
42	35	47
43	36	46
44	37	45
45	38	44
46	38	43
47	39	43
48	40	42
49	41	41
50	42	40
51	42	39
52	43	38
53	44	37
54	45	37
55	46	36
56	46	35
57	47	34
58	48	33
59	49	32
60	50	32
61	51	31
62	51	30
63	52	29
64	53	28
65	54	28
66	55	27
67	56	26
68	57	25
69	57	24
70	58	23
71	59	23
72	60	22
73	61	21
74	62	20
75	62	19
76	63	19
77	64	18
78	65	17
79	66	16
80	67	15
81	68	14
82	68	14
83	69	13
84	70	12
85	71	11
86	72	10
87	73	10
88	74	9
89	75	8
90	76	7
91	76	6
92	77	5
93	78	5
94	79	4
95	80	3
96	81	2
97	83	1
98	84	0
99	85	0
